字体系列名,字体系列链接,开发者名,开发者链接,字体名,字体链接,样式,字重数,协议名,协议链接,简,繁,日,韩
思源字体,,Adobe,,思源黑体,https://github.com/adobe-fonts/source-han-sans,黑,7,"SIL Open Font License, Version 1.1",http://scripts.sil.org/cms/scripts/page.php?site_id=nrsi&id=OFL,✓,✓,✓,✓
〃,,〃,,思源宋体,https://github.com/adobe-fonts/source-han-serif,宋,7,〃,,✓,✓,✓,✓
〃,,〃,,思源等宽,https://github.com/adobe-fonts/source-han-mono,黑,7,〃,,✓,✓,✓,✓
台北黑体,,瀚字铸造,,台北黑体,https://sites.google.com/view/jtfoundry/zh-tw,黑,3,〃,,✓,✓,,
昭明黑体,,Tamcy,,昭明黑体,https://tamcy.github.io/chiron-sans-hk/,黑,7,〃,,✓,✓,✓,✓
Sarasa,,Belleve Invis,https://github.com/be5invis,更纱黑体,https://github.com/be5invis/Sarasa-Gothic,黑,5,〃,,✓,✓,✓,✓
有爱字体,,Nowar Typeface,,有爱黑体,https://github.com/nowar-fonts/Nowar-Sans,黑,5,〃,,✓,✓,✓,✓
〃,,〃,,有爱锐方,https://github.com/nowar-fonts/Nowar-CnC,黑,5,〃,,✓,✓,✓,✓
〃,,〃,,有爱圆体,https://github.com/nowar-fonts/Nowar-Rounded,圆,4,〃,,✓,✓,✓,✓
〃,,〃,,有爱新黑,https://github.com/nowar-fonts/Nowar-Neo-Sans,黑,4,〃,,✓,✓,✓,✓
ButTaiwan,,ButTaiwan,https://github.com/ButTaiwan,源样明体,https://github.com/ButTaiwan/genyo-font,宋,7,〃,,✓,✓,✓,
〃,,〃,,源流明体,https://github.com/ButTaiwan/genryu-font,宋,7,〃,,✓,✓,✓,
〃,,〃,,源云明体,https://github.com/ButTaiwan/genwan-font,宋,4,〃,,✓,✓,✓,
〃,,〃,,源样黑体,https://github.com/ButTaiwan/genyog-font,黑,7,〃,,✓,✓,✓,
〃,,〃,,源石黑体,https://github.com/ButTaiwan/genseki-font,黑,4,〃,,✓,✓,✓,
〃,,〃,,源泉圆体,https://github.com/ButTaiwan/gensen-font,圆,7,〃,,✓,✓,✓,
简体中文完整字体包,https://github.com/Magisk-Modules-Grave/chinesesimplified-font-completion,Magisk-Modules-Grave,https://github.com/Magisk-Modules-Grave,NotoSerif+,,宋,2,〃,,✓,,✓,✓
〃,,〃,,Roboto+,,黑,6,〃,,✓,,✓,✓
〃,,〃,,Roboto Condensed+,,黑,4,〃,,✓,,✓,✓
花园明朝体,http://fonts.jp/hanazono/,GlyphWiki,,花园明朝体,,宋,1,"Hanazono Font License & SIL Open Font License, Version 1.1",http://glyphwiki.org/wiki/Group:%E8%8A%B1%E5%9C%92%E3%83%95%E3%82%A9%E3%83%B3%E3%83%88-LICENSE,✓,✓,✓,✓
GNU Unifont,http://unifoundry.com/unifont/index.html,GNU Unifont,,GNU Unifont,,艺,1,GNU GPLv2,http://unifoundry.com/LICENSE.txt,✓,✓,✓,✓
文泉驿,,文泉驿开发小组,,文泉驿微米黑,http://wenq.org/wqy2/index.cgi?MicroHei,黑,1,GNU GPLv3 & Apache 2.0,https://www.gnu.org/licenses/gpl-3.0.en.html,✓,✓,✓,✓
